_id,cons,pros,comment,aspect,description,mainTheme,secondaryTheme,sentiment,stage,signal
406093412,,"отличная приставка, быстро подключили, не лагает.",,Производительность,не лагает,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
406035886,"Недостатков нет,и быть не может.","Приставка подключается быстро, отлично работает в умном доме Сбер.","Тв приставка управляет умными приборами,видео звонки в телеграм . Купил вторую приставку для дачи.Очень доволен Можно установить приложения,хорошо работает браузер.",Функциональность (управление устройствами),"тв приставка управляет умными приборами, видео звонки в телеграм",ТВ с другими устройствами,Управление умным домом с ТВ,1,ТВ с другими устройствами,Удобное управление умным домом с ТВ
406035886,"Недостатков нет,и быть не может.","Приставка подключается быстро, отлично работает в умном доме Сбер.","Тв приставка управляет умными приборами,видео звонки в телеграм . Купил вторую приставку для дачи.Очень доволен Можно установить приложения,хорошо работает браузер.",Совместимость с приложениями,"можно установить приложения, хорошо работает браузер",Приложения и каталог приложений,Работа приложений,1,Приложения и каталог приложений,Стабильная работа приложений
406035886,"Недостатков нет,и быть не может.","Приставка подключается быстро, отлично работает в умном доме Сбер.","Тв приставка управляет умными приборами,видео звонки в телеграм . Купил вторую приставку для дачи.Очень доволен Можно установить приложения,хорошо работает браузер.",Простота подключения,приставка подключается быстро,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
406035886,"Недостатков нет,и быть не может.","Приставка подключается быстро, отлично работает в умном доме Сбер.","Тв приставка управляет умными приборами,видео звонки в телеграм . Купил вторую приставку для дачи.Очень доволен Можно установить приложения,хорошо работает браузер.",Работа в экосистеме,отлично работает в умном доме Сбер,Выбор и покупка,Экосистема и дополнительные функции,1,Выбор и покупка,Положительная оценка экосистемы и умных функций
405892423,нет,"все очень удобно. с голосовым управлением проблема с вечным поиском пульта исчезла, ну и на крайний случай пульт есть и в телефоне",,Удобство использования,"все очень удобно, с голосовым управлением проблема поиска пульта исчезла",Системная производительность и управление устройством,Голосовые команды,1,Системная производительность и управление устройством,Удобные голосовые команды управления
405892423,нет,"все очень удобно. с голосовым управлением проблема с вечным поиском пульта исчезла, ну и на крайний случай пульт есть и в телефоне",,Управление,есть возможность управления через телефон,Системная производительность и управление устройством,Управление с пульта,1,Системная производительность и управление устройством,Удобное управление с пульта
405841995,"Зависает, лагает, долго грузится, и это только при использовании базовых задач. \nЕсли открывать приложения, то вам придется еще подходить и выдергивать с розетки, чтобы принудительно перезагрузить.","Это приставка, она от Сбера.",Черно-белый шум телевизора в разы лучше.,Качество изображения,Черно-белый шум телевизора в разы лучше,Первый опыт,HDR и качество изображения,1,Первый опыт,Положительная оценка качества изображения
405841995,"Зависает, лагает, долго грузится, и это только при использовании базовых задач. \nЕсли открывать приложения, то вам придется еще подходить и выдергивать с розетки, чтобы принудительно перезагрузить.","Это приставка, она от Сбера.",Черно-белый шум телевизора в разы лучше.,Производительность,"Зависает, лагает, долго грузится даже при выполнении базовых задач",Системная производительность и управление устройством,Производительность системы,-1,Системная производительность и управление устройством,Низкая производительность системы
405841995,"Зависает, лагает, долго грузится, и это только при использовании базовых задач. \nЕсли открывать приложения, то вам придется еще подходить и выдергивать с розетки, чтобы принудительно перезагрузить.","Это приставка, она от Сбера.",Черно-белый шум телевизора в разы лучше.,Работа приложений,При открытии приложений приходится принудительно перезагружать устройство через розетку,Приложения и каталог приложений,Работа приложений,-1,Приложения и каталог приложений,Проблемы с работой приложений
OmasFqk3V2VE7cTLTE1o,,,Приставка шустрей чем первое поколение доволен,Производительность,быстрее первого поколения,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
wU99alfEcvTFStFBu6YJ,,,"Отличная приставка...дороговато,но работает на ура!! Рекомендую",Цена,дороговато,Выбор и покупка,Цена и промо-предложения,-1,Выбор и покупка,Проблемы с ценой или промо-условиями
wU99alfEcvTFStFBu6YJ,,,"Отличная приставка...дороговато,но работает на ура!! Рекомендую",Стабильность работы,работает на ура,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
B3EVHTbaOEpK4uoa9mJ6,,,Очень даже не плохая приставка. Легко и просто подключить. Крепко и надежно крепится на заднюю крышку телевизора. С детьми в доме функция поиска пульта просто супер. Доставили за пару дней. К продавцу нареканий нет,Удобство подключения,легко и просто подключить,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
B3EVHTbaOEpK4uoa9mJ6,,,Очень даже не плохая приставка. Легко и просто подключить. Крепко и надежно крепится на заднюю крышку телевизора. С детьми в доме функция поиска пульта просто супер. Доставили за пару дней. К продавцу нареканий нет,Конструкция крепления,крепко и надежно крепится на заднюю крышку телевизора,Выбор и покупка,Внешний вид и ощущение качества,1,Выбор и покупка,Положительная оценка внешнего вида и сборки
B3EVHTbaOEpK4uoa9mJ6,,,Очень даже не плохая приставка. Легко и просто подключить. Крепко и надежно крепится на заднюю крышку телевизора. С детьми в доме функция поиска пульта просто супер. Доставили за пару дней. К продавцу нареканий нет,Функциональность (поиск пульта),с детьми в доме функция поиска пульта просто супер,Системная производительность и управление устройством,Управление с пульта,1,Системная производительность и управление устройством,Удобное управление с пульта
B3EVHTbaOEpK4uoa9mJ6,,,Очень даже не плохая приставка. Легко и просто подключить. Крепко и надежно крепится на заднюю крышку телевизора. С детьми в доме функция поиска пульта просто супер. Доставили за пару дней. К продавцу нареканий нет,Скорость доставки,доставили за пару дней,Доставка/распаковка,Сроки и организация доставки,1,Доставка/распаковка,Доставка в срок и удобная организация доставки
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Качество,качество отличное,Выбор и покупка,Соотношение цена–качество,1,Выбор и покупка,Хорошее соотношение цены и качества
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Упаковка,упаковка от бога,Доставка/распаковка,Состояние упаковки,1,Доставка/распаковка,Хорошее состояние упаковки
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Отзывчивость системы,отклик быстрый,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Дизайн пульта,пульт приятный,Выбор и покупка,Внешний вид и ощущение качества,1,Выбор и покупка,Положительная оценка внешнего вида и сборки
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Функция искусственного интеллекта,функция ИИ работает норм,Системная производительность и управление устройством,Голосовые команды,1,Системная производительность и управление устройством,Удобные голосовые команды управления
WplYXtud5DlBtRPGQ6D5,,,"Качество отличное. Упаковка от бога :) отклик быстрый, пульт приятный, функция ИИ работает норм. Есть небольшие косяки по UI, а в целом пушка",Интерфейс пользователя (UI),есть небольшие косяки по UI,Системная производительность и управление устройством,Навигация и логика интерфейса,-1,Системная производительность и управление устройством,Проблемы с навигацией и логикой интерфейса
GzcS4RO0IDKqbFxIVbwT,,,Работает отлично. Ничего сложного в установке,Установка,ничего сложного в установке,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
GzcS4RO0IDKqbFxIVbwT,,,Работает отлично. Ничего сложного в установке,Стабильность работы,работает отлично,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
tSYOQppgVqbqwzjEOJJv,,,"Пользуюсь почти месяц, настроила сама, все понятно и легко. У меня подписки на приложения были, поэтому просто зашла в свои аккаунты. Нравится,что есть голосовой помощник.Поддерживает платформу рутуб, там очень много фильмов и сериалов для просмотра. Я очень довольна, к покупке рекомендую!",Удобство использования,"все понятно и легко, настроила сама",Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
tSYOQppgVqbqwzjEOJJv,,,"Пользуюсь почти месяц, настроила сама, все понятно и легко. У меня подписки на приложения были, поэтому просто зашла в свои аккаунты. Нравится,что есть голосовой помощник.Поддерживает платформу рутуб, там очень много фильмов и сериалов для просмотра. Я очень довольна, к покупке рекомендую!",Функционал,есть голосовой помощник,Системная производительность и управление устройством,Голосовые команды,1,Системная производительность и управление устройством,Удобные голосовые команды управления
tSYOQppgVqbqwzjEOJJv,,,"Пользуюсь почти месяц, настроила сама, все понятно и легко. У меня подписки на приложения были, поэтому просто зашла в свои аккаунты. Нравится,что есть голосовой помощник.Поддерживает платформу рутуб, там очень много фильмов и сериалов для просмотра. Я очень довольна, к покупке рекомендую!",Поддерживаемые платформы,поддерживает платформу Рутуб,Выбор и покупка,Платформа ТВ (Android TV vs Салют ТВ),1,Выбор и покупка,Положительная оценка платформы ТВ
YPqThrH3R7oXsqoqIRJh,,,"Отличная вещь, подключили быстро к не очень новому телевизору, работает отлично!Советую)",Подключение,подключили быстро к не очень новому телевизору,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
YPqThrH3R7oXsqoqIRJh,,,"Отличная вещь, подключили быстро к не очень новому телевизору, работает отлично!Советую)",Работа устройства,работает отлично,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
u1Kc1AQapqHGyOoNvHu7,,,"Всё класс,пульт удобный",Удобство использования пульта,пульт удобный,Системная производительность и управление устройством,Управление с пульта,1,Системная производительность и управление устройством,Удобное управление с пульта
vWtfLJSlPi4LWiBog5ra,,,"Работает отлично, никаких проблем с подключением не было.",Стабильность работы,"Работает отлично, никаких проблем с подключением не было",Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
pRjfag64RUbXZ8aXaF3v,,,"Прекрасный медиаплеер, работает без нареканий. Рекомендую.",Стабильность работы,работает без нареканий,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
qOroABm24w59fNtAZLM4,,,Крутая приставка. Сбер все лучше и лучше. Пульт вообще космос в новой версии сделали.,Функциональность пульта,пульт просто космос в новой версии,Системная производительность и управление устройством,Управление с пульта,1,Системная производительность и управление устройством,Удобное управление с пульта
hIzNU8h0u5wvjqWaW7Fi,,,"Будущее наступило! Громоздкая тарелка, которая закрывает вид из окна, вместе с тюнером и кучей проводов отправится в мусор)) Сбербокс это крошечный девайс, которого ВООБЩЕ не видно! Спасибо тем, кто подсказал, что можно его подключить в usb телевизора вместо розетки. В итоге он включается вместе с телевизором, места не занимает, провода не видны! Доступны куча кинотеатров, любой фильм или сериал находишь голосом, ОККО по сберпрайму доступен весь, можно смотреть Ютуб... Короче! См. первое предложение этого сообщения)) Всем рекомендую!",Габариты устройства,"крошечный девайс, которого вообще не видно",Выбор и покупка,Внешний вид и ощущение качества,1,Выбор и покупка,Положительная оценка внешнего вида и сборки
hIzNU8h0u5wvjqWaW7Fi,,,"Будущее наступило! Громоздкая тарелка, которая закрывает вид из окна, вместе с тюнером и кучей проводов отправится в мусор)) Сбербокс это крошечный девайс, которого ВООБЩЕ не видно! Спасибо тем, кто подсказал, что можно его подключить в usb телевизора вместо розетки. В итоге он включается вместе с телевизором, места не занимает, провода не видны! Доступны куча кинотеатров, любой фильм или сериал находишь голосом, ОККО по сберпрайму доступен весь, можно смотреть Ютуб... Короче! См. первое предложение этого сообщения)) Всем рекомендую!",Удобство подключения,"подключается через USB телевизора, не занимает место, провода не видны",ТВ с другими устройствами,Подключение внешних устройств,1,ТВ с другими устройствами,Успешное подключение внешних устройств
hIzNU8h0u5wvjqWaW7Fi,,,"Будущее наступило! Громоздкая тарелка, которая закрывает вид из окна, вместе с тюнером и кучей проводов отправится в мусор)) Сбербокс это крошечный девайс, которого ВООБЩЕ не видно! Спасибо тем, кто подсказал, что можно его подключить в usb телевизора вместо розетки. В итоге он включается вместе с телевизором, места не занимает, провода не видны! Доступны куча кинотеатров, любой фильм или сериал находишь голосом, ОККО по сберпрайму доступен весь, можно смотреть Ютуб... Короче! См. первое предложение этого сообщения)) Всем рекомендую!",Функциональность,"доступно множество кинотеатров, поиск фильмов и сериалов голосом, доступ ко всему контенту OKKO по подписке сберпрайм, просмотр YouTube",Приложения и каталог приложений,Работа приложений,1,Приложения и каталог приложений,Стабильная работа приложений
5quMUlovzjuMVKGemzw6,,,Работает без проблем.,Стабильность работы,Работает без проблем,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
ViwdzXuDn12xOjgWJn6z,,,Всё пришло хорошо упаковано. Приставка работает без нареканий,Упаковка,всё пришло хорошо упаковано,Доставка/распаковка,Состояние упаковки,1,Доставка/распаковка,Хорошее состояние упаковки
ViwdzXuDn12xOjgWJn6z,,,Всё пришло хорошо упаковано. Приставка работает без нареканий,Стабильность работы,приставка работает без нареканий,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
COAAIqQYEkSuwTusMfiT,,,"Товар пришел целый, работает,подключили быстро,довольны",Доставка,товар пришел целый,Доставка/распаковка,Состояние товара при доставке,1,Доставка/распаковка,Товар доставлен без повреждений
COAAIqQYEkSuwTusMfiT,,,"Товар пришел целый, работает,подключили быстро,довольны",Простота установки,подключили быстро,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
COAAIqQYEkSuwTusMfiT,,,"Товар пришел целый, работает,подключили быстро,довольны",Функциональность,работает,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
xsQTC6m2yX2ICBUwnQWO,,,"Лучшая пиставка,проста в установки,пользуюсь 3 дня очень нравится",Простота установки,проста в установке,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
uhXAhu4sOzaI2FC417FS,,,Установил все показывает отлично,Качество изображения,все показывает отлично,Первый опыт,HDR и качество изображения,1,Первый опыт,Положительная оценка качества изображения
a1gQnl8SSgUiuG3EDpq9,,,Работает даже на 5G интернетом,Совместимость,Работает даже на 5G интернетом,Выбор и покупка,Совместимость устройств и сценариев,1,Выбор и покупка,Успешная совместимость ТВ с устройствами
GZVgDWeCJumyDafczHq0,,,"Очень понравилась приставка, а еще мне понравилось что там ксть браузер что можно искать информацию или смотреть. Через другие сайты ! Скажу так больше понравилось чем apply tv",Функциональность (наличие браузера),есть возможность поиска информации и просмотра через другие сайты,Приложения и каталог приложений,Работа браузера при просмотре онлайн-контента,1,,
seqrzIayYJbNejDnt8oV,,,"Всё пришло целое, быстро настроили, покупкой довольны!",Доставка,"всё пришло целое, быстро настроили",Доставка/распаковка,Сроки и организация доставки,1,Доставка/распаковка,Доставка в срок и удобная организация доставки
seqrzIayYJbNejDnt8oV,,,"Всё пришло целое, быстро настроили, покупкой довольны!",Покупательский опыт,покупкой довольны,Выбор и покупка,Соотношение цена–качество,1,Выбор и покупка,Хорошее соотношение цены и качества
xAXtD6rqRGgLsc0TBkb2,,,"Дома была одна приставка, купленная в магазине,  решила приобрести здесь еще одну - она работает лучше",Стабильность работы,она работает лучше,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
V1NdcHOU5ZCgqpeALQ49,,,"небольшая вмятина на обратной стороне коробки была, но на работу и вид не повлияло. работает отлично, своих денег стоит!",Упаковка,"небольшая вмятина на коробке, не влияет на работу и внешний вид устройства",Доставка/распаковка,Состояние упаковки,0,Доставка/распаковка,Состояние упаковки товара
V1NdcHOU5ZCgqpeALQ49,,,"небольшая вмятина на обратной стороне коробки была, но на работу и вид не повлияло. работает отлично, своих денег стоит!",Работа устройства,работает отлично,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
V1NdcHOU5ZCgqpeALQ49,,,"небольшая вмятина на обратной стороне коробки была, но на работу и вид не повлияло. работает отлично, своих денег стоит!",Цена,своих денег стоит,Выбор и покупка,Соотношение цена–качество,1,Выбор и покупка,Хорошее соотношение цены и качества
hs1q9CTgii3cPAamKXz5,,,"В целом идея отличная. Все собрано в одном месте, много сервисов подключено, поиск идет по всем сразу и показывает в каком доступен определенный фильм. Но видно нужно было брать модель пошустрее потому как эта работает медленно и иногда прям раздражает, временами приходится перегружать так как не хочет открывать какую то игру или просто виснет (хоть и редко). Некоторые игры в принципе оказывается запускать говоря о том что сейчас это невозможно (зачем тогда отображать вообще игру)",Функциональность,"все собрано в одном месте, много сервисов подключено, поиск ведется по всем сервисам одновременно",Поиск и выбор контента,Навигация и выбор контента,1,Поиск и выбор контента,Удобная навигация и выбор контента
hs1q9CTgii3cPAamKXz5,,,"В целом идея отличная. Все собрано в одном месте, много сервисов подключено, поиск идет по всем сразу и показывает в каком доступен определенный фильм. Но видно нужно было брать модель пошустрее потому как эта работает медленно и иногда прям раздражает, временами приходится перегружать так как не хочет открывать какую то игру или просто виснет (хоть и редко). Некоторые игры в принципе оказывается запускать говоря о том что сейчас это невозможно (зачем тогда отображать вообще игру)",Производительность,"медленная работа, зависания, необходимость перезагрузки при проблемах с открытием игр",Системная производительность и управление устройством,Производительность системы,-1,Системная производительность и управление устройством,Низкая производительность системы
hs1q9CTgii3cPAamKXz5,,,"В целом идея отличная. Все собрано в одном месте, много сервисов подключено, поиск идет по всем сразу и показывает в каком доступен определенный фильм. Но видно нужно было брать модель пошустрее потому как эта работает медленно и иногда прям раздражает, временами приходится перегружать так как не хочет открывать какую то игру или просто виснет (хоть и редко). Некоторые игры в принципе оказывается запускать говоря о том что сейчас это невозможно (зачем тогда отображать вообще игру)",Игровая платформа,"некоторые игры не запускаются, несмотря на отображение в списке доступных",Приложения и каталог приложений,Работа приложений,-1,Приложения и каталог приложений,Проблемы с работой приложений
